Severity	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	m27	m28	m29	m30	m31	m32	m33	m34	m35	m36	m37	m38	m39	m40	m41	m42	m43	m44	m45	m46	m47	m48	m49	m50	pred_logreg$response
C7	0	3.750032457	3.770738479	3.780866394	3.790949575	3.760443399	3.669393881	2.500021772	2.553571429	2.38402907	2.755255917	3.760203185	3.76046114	3.761476076	2.655555556	4.384043948	2.888888889	3.759786434	2.468721935	2.798917916	2.714285714	2.500009331	2.798917916	4.792470213	4.792470213	2.4	4.792470213	2.798917916	3.017475617	3.053821419	3.057435659	3.04397157	2.333333333	2.983122599	3.019984131	3.051799525	3.055501421	3.061472815	3.026353477	2.499995771	3.010615218	3.023201539	2.333333333	2.466666667	2.333333333	2.250477011	2.078093084	3.0511554	3.07248174	3.041191236	3.03809197	0.644383953842673
C8	0	2.083617212	2.097785603	2.104842601	2.111766167	2.090731409	2.088906908	1.03478391	1	1	2.115764367	1.954331901	1.95009941	1.949047136	1.066666667	1.598340115	1.222222222	1.949046447	1.033608112	2.07956422	1	1	2.07956422	1.424498611	1.424498611	1	1.424498611	2.07956422	2.024437618	1.855152417	1.954792012	1.983672454	1	1.901090809	1.880206782	1.86496073	1.934063949	1.89479897	1.94037866	1	1.945538765	1.929106712	1	1	1	1	1	1.885260655	1.935798071	1.906728488	1.861855056	0.0567033306541814
C9	0	2.083617212	2.097785603	2.104842601	2.111766167	2.090731409	2.088906908	1.03478391	1	1	2.115764367	1.954331901	1.95009941	1.949047136	1.066666667	1.598340115	1.222222222	1.949046447	1.033608112	2.07956422	1	1	2.07956422	1.424498611	1.424498611	1	1.424498611	2.07956422	2.024437618	1.855152417	1.954792012	1.983672454	1	1.901090809	1.880206782	1.86496073	1.934063949	1.89479897	1.94037866	1	1.945538765	1.929106712	1	1	1	1	1	1.885260655	1.935798071	1.906728488	1.861855056	0.0567033306541814
P10	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P11	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P12	1	3.012292284	3.034668329	3.045708349	3.056678494	3.023525098	2.984857345	3.237135941	3.375	3.350488486	2.42951774	2.953925337	2.949658759	2.949783074	3.188888889	2.506694367	2.777777778	2.94843525	3.346710577	2.440306606	3.285714286	3.237153194	2.440306606	2.895256279	2.895256279	3.6	2.895256279	2.440306606	2.553047062	2.356545414	2.436513889	2.414145836	3.416666667	2.355210677	2.326071171	2.351738028	2.425665091	2.390769213	2.371301531	3.468119882	2.347417478	2.317913553	3.454826447	3.5	3.333333333	3.572852067	3.274273531	2.327945419	2.421284515	2.327611853	2.41244296	0.719066429151803
P13	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P14	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P15	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P16	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P17	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P18	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P19	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P1	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P20	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P21	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P22	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P23	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P24	1	3.685769829	3.702034542	3.710064078	3.718016562	3.693938462	3.63647607	3.509312281	3.375	3.366270126	3.178593453	3.761145256	3.760606148	3.761216727	3.322222222	3.381799602	3.111111111	3.76018025	3.409741509	3.187547451	3.142857143	3.587938063	3.187547451	3.436280117	3.436280117	3.6	3.436280117	3.187547451	3.176334067	3.226812427	3.225588598	3.237848645	3.416666667	3.203173166	3.226648279	3.22485373	3.258991592	3.239719611	3.23238618	3.587940463	3.17228777	3.218294069	3.455531908	3.5	3.333333333	3.572852067	3.274273531	3.149671058	3.169481295	3.156213986	3.191084137	0.864731224848517
P25	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P26	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P27	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P28	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P29	1	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
P2	1	3.012292284	3.034668329	3.045708349	3.056678494	3.023525098	2.984857345	3.237135941	3.375	3.350488486	2.42951774	2.953925337	2.949658759	2.949783074	3.188888889	2.506694367	2.777777778	2.94843525	3.346710577	2.440306606	3.285714286	3.237153194	2.440306606	2.895256279	2.895256279	3.6	2.895256279	2.440306606	2.553047062	2.356545414	2.436513889	2.414145836	3.416666667	2.355210677	2.326071171	2.351738028	2.425665091	2.390769213	2.371301531	3.468119882	2.347417478	2.317913553	3.454826447	3.5	3.333333333	3.572852067	3.274273531	2.327945419	2.421284515	2.327611853	2.41244296	0.719066429151803
